Summary,Issue Type,Status,Description,Labels,Parent
ADR Engine,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-ADR
CORE Epic: EPIC-GOVERNANCE
Jira Parent: SCRUM-6","core,generated,feature",SCRUM-6
Governance Score,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-GOV-SCORE
CORE Epic: EPIC-GOVERNANCE
Jira Parent: SCRUM-6","core,generated,feature",SCRUM-6
Project Analyzer,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-PROJECT-ANALYZER
CORE Epic: EPIC-PROJECT
Jira Parent: SCRUM-7","core,generated,feature",SCRUM-7
Jira CSV Export,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-JIRA-EXPORT
CORE Epic: EPIC-PROJECT
Jira Parent: SCRUM-7","core,generated,feature",SCRUM-7
Project Dashboard,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-PROJECT-DASHBOARD
CORE Epic: EPIC-PROJECT
Jira Parent: SCRUM-7","core,generated,feature",SCRUM-7
Legacy Assessment,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-LEGACY-ASSESSMENT
CORE Epic: EPIC-QUALITY
Jira Parent: SCRUM-9","core,generated,feature",SCRUM-9
Controlled Cleanup,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-CONTROLLED-CLEANUP
CORE Epic: EPIC-CLEANUP
Jira Parent: SCRUM-10","core,generated,feature",SCRUM-10
Dispatcher Foundation,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-DISPATCHER
CORE Epic: EPIC-RUNTIME
Jira Parent: SCRUM-11","core,generated,feature",SCRUM-11
Job Engine,Story,To Do,"Generated by CORE Project Intelligence Engine

Feature Key: FEATURE-JOB-ENGINE
CORE Epic: EPIC-JOBS
Jira Parent: SCRUM-12","core,generated,feature",SCRUM-12
CORE projectstructuur,Story,Done,"Generated from historical CORE Markdown issue

Issue Key: CORE-001
File: project/issues/CORE-001.md

CORE basisstructuur opgezet met core/, database/, docs/, tools/ en project/.","core,historical",
CORE Manifest,Story,Done,"Generated from historical CORE Markdown issue

Issue Key: CORE-002
File: project/issues/CORE-002.md

core/core.yaml toegevoegd als centrale manifestbasis.","core,historical",
Documentation Engine v2,Story,Done,"Generated from historical CORE Markdown issue

Issue Key: CORE-003
File: project/issues/CORE-003.md

Documentatiegenerator maakt wiki, JSON en DOCUMENTATIE.md.","documentation,historical",
Standards Engine,Story,Done,"Generated from historical CORE Markdown issue

Issue Key: CORE-004
File: project/issues/CORE-004.md

docs/standards wordt automatisch geanalyseerd en gedocumenteerd.","governance,historical",
CORE Documentation Portal v1,Story,In Progress,"Generated from historical CORE Markdown issue

Issue Key: DOC-007
File: project/issues/DOC-007.md

Introduce MkDocs Material as the CORE Documentation Portal for the generated wiki.","documentation,mkdocs,core",
